col1,col2
We investigate the lexical and syntactic flexibility of a class of idiomatic expressions.,Introduction
"We develop measures that draw on such linguistic properties, and demonstrate that these statistical, corpus-based measures can be successfully used for distinguishing idiomatic combinations from non-idiomatic ones.",Introduction
"We also propose a means for automatically determining which syntactic forms a particular idiom can appear in, and hence should be included in its lexical representation.",Introduction
"The term idiom has been applied to a fuzzy category with prototypical examples such as by and large, kick the bucket, and let the cat out of the bag.",Experiment/Discussion
"Providing a definitive answer for what idioms are, and determining how they are learned and understood, are still subject to debate (Glucksberg, 1993; Nunberg et al., 1994).",Experiment/Discussion
"Nonetheless, they are often defined as phrases or sentences that involve some degree of lexical, syntactic, and/or semantic idiosyncrasy.",Experiment/Discussion
"Idiomatic expressions, as a part of the vast family of figurative language, are widely used both in colloquial speech and in written language.",Experiment/Discussion
"Moreover, a phrase develops its idiomaticity over time (Cacciari, 1993); consequently, new idioms come into existence on a daily basis (Cowie et al., 1983; Seaton and Macaulay, 2002).",Experiment/Discussion
"Idioms thus pose a serious challenge, both for the creation of widecoverage computational lexicons, and for the development of large-scale, linguistically plausible natural language processing (NLP) systems (Sag et al., 2002).",Experiment/Discussion
One problem is due to the range of syntactic idiosyncrasy of idiomatic expressions.,Experiment/Discussion
"Some idioms, such as by and large, contain syntactic violations; these are often completely fixed and hence can be listed in a lexicon as “words with spaces” (Sag et al., 2002).",Experiment/Discussion
"However, among those idioms that are syntactically well-formed, some exhibit limited morphosyntactic flexibility, while others may be more syntactically flexible.",Experiment/Discussion
"For example, the idiom shoot the breeze undergoes verbal inflection (shot the breeze), but not internal modification or passivization (?shoot the fun breeze, ?the breeze was shot).",Experiment/Discussion
"In contrast, the idiom spill the beans undergoes verbal inflection, internal modification, and even passivization.",Experiment/Discussion
"Clearly, a words-withspaces approach does not capture the full range of behaviour of such idiomatic expressions.",Experiment/Discussion
Another barrier to the appropriate handling of idioms in a computational system is their semantic idiosyncrasy.,Experiment/Discussion
This is a particular issue for those idioms that conform to the grammar rules of the language.,Experiment/Discussion
"Such idiomatic expressions are indistinguishable on the surface from compositional (nonidiomatic) phrases, but a computational system must be capable of distinguishing the two.",Experiment/Discussion
"For example, a machine translation system should translate the idiom shoot the breeze as a single unit of meaning (“to chat”), whereas this is not the case for the literal phrase shoot the bird.",Experiment/Discussion
"In this study, we focus on a particular class of English phrasal idioms, i.e., those that involve the combination of a verb plus a noun in its direct object position.",Experiment/Discussion
"Examples include shoot the breeze, pull strings, and push one’s luck.",Experiment/Discussion
We refer to these as verb+noun idiomatic combinations (VNICs).,Experiment/Discussion
"The class of VNICs accommodates a large number of idiomatic expressions (Cowie et al., 1983; Nunberg et al., 1994).",Experiment/Discussion
"Moreover, their peculiar behaviour signifies the need for a distinct treatment in a computational lexicon (Fellbaum, 2005).",Experiment/Discussion
"Despite this, VNICs have been granted relatively little attention within the computational linguistics community.",Experiment/Discussion
We look into two closely related problems confronting the appropriate treatment of VNICs: (i) the problem of determining their degree of flexibility; and (ii) the problem of determining their level of idiomaticity.,Experiment/Discussion
"Section 2 elaborates on the lexicosyntactic flexibility of VNICs, and how this relates to their idiomaticity.",Experiment/Discussion
"In Section 3, we propose two linguistically-motivated statistical measures for quantifying the degree of lexical and syntactic inflexibility (or fixedness) of verb+noun combinations.",Experiment/Discussion
Section 4 presents an evaluation of the proposed measures.,Experiment/Discussion
"In Section 5, we put forward a technique for determining the syntactic variations that a VNIC can undergo, and that should be included in its lexical representation.",Experiment/Discussion
Section 6 summarizes our contributions.,Experiment/Discussion
"Although syntactically well-formed, VNICs involve a certain degree of semantic idiosyncrasy.",Experiment/Discussion
"Unlike compositional verb+noun combinations, the meaning of VNICs cannot be solely predicted from the meaning of their parts.",Experiment/Discussion
There is much evidence in the linguistic literature that the semantic idiosyncrasy of idiomatic combinations is reflected in their lexical and/or syntactic behaviour.,Experiment/Discussion
"A limited number of idioms have one (or more) lexical variants, e.g., blow one’s own trumpet and toot one’s own horn (examples from Cowie et al. 1983).",Experiment/Discussion
"However, most are lexically fixed (nonproductive) to a large extent.",Experiment/Discussion
Neither shoot the wind nor fling the breeze are typically recognized as variations of the idiom shoot the breeze.,Experiment/Discussion
"Similarly, spill the beans has an idiomatic meaning (“to reveal a secret”), while spill the peas and spread the beans have only literal interpretations.",Experiment/Discussion
Idiomatic combinations are also syntactically peculiar: most VNICs cannot undergo syntactic variations and at the same time retain their idiomatic interpretations.,Experiment/Discussion
"It is important, however, to note that VNICs differ with respect to the degree of syntactic flexibility they exhibit.",Experiment/Discussion
"Some are syntactically inflexible for the most part, while others are more versatile; as illustrated in 1 and 2: Linguists have explained the lexical and syntactic flexibility of idiomatic combinations in terms of their semantic analyzability (e.g., Glucksberg 1993; Fellbaum 1993; Nunberg et al. 1994).",Experiment/Discussion
Semantic analyzability is inversely related to idiomaticity.,Experiment/Discussion
"For example, the meaning of shoot the breeze, a highly idiomatic expression, has nothing to do with either shoot or breeze.",Experiment/Discussion
"In contrast, a less idiomatic expression, such as spill the beans, can be analyzed as spill corresponding to “reveal” and beans referring to “secret(s)”.",Experiment/Discussion
"Generally, the constituents of a semantically analyzable idiom can be mapped onto their corresponding referents in the idiomatic interpretation.",Experiment/Discussion
Hence analyzable (less idiomatic) expressions are often more open to lexical substitution and syntactic variation.,Experiment/Discussion
We use the observed connection between idiomaticity and (in)flexibility to devise statistical measures for automatically distinguishing idiomatic from literal verb+noun combinations.,Experiment/Discussion
While VNICs vary in their degree of flexibility (cf.,Experiment/Discussion
"1 and 2 above; see also Moon 1998), on the whole they contrast with compositional phrases, which are more lexically productive and appear in a wider range of syntactic forms.",Experiment/Discussion
We thus propose to use the degree of lexical and syntactic flexibility of a given verb+noun combination to determine the level of idiomaticity of the expression.,Experiment/Discussion
It is important to note that semantic analyzability is neither a necessary nor a sufficient condition for an idiomatic combination to be lexically or syntactically flexible.,Experiment/Discussion
"Other factors, such as the communicative intentions and pragmatic constraints, can motivate a speaker to use a variant in place of a canonical form (Glucksberg, 1993).",Experiment/Discussion
"Nevertheless, lexical and syntactic flexibility may well be used as partial indicators of semantic analyzability, and hence idiomaticity.",Experiment/Discussion
