col1,col2
This paper describes a novel method for computing a consensus translation from the outputs of multiple machine translation (MT) systems.,Introduction
The outputs are combined and a possibly new translation hypothesis can be generated.,Introduction
"Similarly to the well-established ROVER approach of (Fiscus, 1997) for combining speech recognition hypotheses, the consensus translation is computed by voting on a confusion network.",Introduction
"To create the confusion network, we produce pairwise word alignments of the original machine translation hypotheses with an enhanced statistical alignment algorithm that explicitly models word reordering.",Introduction
The context of a whole document of translations rather than a single sentence is taken into account to produce the alignment.,Introduction
"The proposed alignment and voting approach was evaluated on several machine translation tasks, including a large vocabulary task.",Introduction
The method was also tested in the framework of multi-source and speech translation.,Introduction
"On all tasks and conditions, we achieved significant improvements in translation quality, increasing e. g. the BLEU score by as much as 15% relative.",Introduction
In this work we describe a novel technique for computing a consensus translation from the outputs of multiple machine translation systems.,Experiment/Discussion
Combining outputs from different systems was shown to be quite successful in automatic speech recognition (ASR).,Experiment/Discussion
"Voting schemes like the ROVER approach of (Fiscus, 1997) use edit distance alignment and time information to create confusion networks from the output of several ASR systems.",Experiment/Discussion
Some research on multi-engine machine translation has also been performed in recent years.,Experiment/Discussion
"The most straightforward approaches simply select, for each sentence, one of the provided hypotheses.",Experiment/Discussion
"The selection is made based on the scores of translation, language, and other models (Nomoto, 2004; Paul et al., 2005).",Experiment/Discussion
"Other approaches combine lattices or N-best lists from several different MT systems (Frederking and Nirenburg, 1994).",Experiment/Discussion
"To be successful, such approaches require compatible lattices and comparable scores of the (word) hypotheses in the lattices.",Experiment/Discussion
"However, the scores of most statistical machine translation (SMT) systems are not normalized and therefore not directly comparable.",Experiment/Discussion
"For some other MT systems (e.g. knowledge-based systems), the lattices and/or scores of hypotheses may not be even available.",Experiment/Discussion
"(Bangalore et al., 2001) used the edit distance alignment extended to multiple sequences to construct a confusion network from several translation hypotheses.",Experiment/Discussion
"This algorithm produces monotone alignments only (i. e. allows insertion, deletion, and substitution of words); it is not able to align translation hypotheses with significantly different word order.",Experiment/Discussion
"(Jayaraman and Lavie, 2005) try to overcome this problem.",Experiment/Discussion
They introduce a method that allows non-monotone alignments of words in different translation hypotheses for the same sentence.,Experiment/Discussion
"However, this approach uses many heuristics and is based on the alignment that is performed to calculate a specific MT error measure; the performance improvements are reported only in terms of this measure.",Experiment/Discussion
"Here, we propose an alignment procedure that explicitly models reordering of words in the hypotheses.",Experiment/Discussion
"In contrast to existing approaches, the context of the whole document rather than a single sentence is considered in this iterative, unsupervised procedure, yielding a more reliable alignment.",Experiment/Discussion
"Based on the alignment, we construct a confusion network from the (possibly reordered) translation hypotheses, similarly to the approach of (Bangalore et al., 2001).",Experiment/Discussion
"Using global system probabilities and other statistical models, the voting procedure selects the best consensus hypothesis from the confusion network.",Experiment/Discussion
This consensus translation may be different from the original translations.,Experiment/Discussion
This paper is organized as follows.,Experiment/Discussion
"In Section 2, we will describe the computation of consensus translations with our approach.",Experiment/Discussion
"In particular, we will present details of the enhanced alignment and reordering procedure.",Experiment/Discussion
"A large set of experimental results on several machine translation tasks is presented in Section 3, which is followed by a summary.",Experiment/Discussion
The proposed approach takes advantage of multiple translations for a whole test corpus to compute a consensus translation for each sentence in this corpus.,Experiment/Discussion
"Given a single source sentence in the test corpus, we combine M translation hypotheses Ei, ... , EM from M MT engines.",Experiment/Discussion
We first choose one of the hypotheses Em as the primary one.,Experiment/Discussion
We consider this primary hypothesis to have the “correct” word order.,Experiment/Discussion
"We then align and reorder the other, secondary hypotheses En(n = 1, ..., M; n =� m) to match this word order.",Experiment/Discussion
"Since each hypothesis may have an acceptable word order, we let every hypothesis play the role of the primary translation once, and thus align all pairs of hypotheses (En, Em); n =� m. In the following subsections, we will explain the word alignment procedure, the reordering approach, and the construction of confusion networks.",Experiment/Discussion
The word alignment is performed in analogy to the training procedure in SMT.,Experiment/Discussion
