col1,col2
"Most work on unsupervised entailment rule acquisition focused on rules between templates with two variables, ignoring unary rules - entailment rules betweentemplates with a single variable.",Introduction
In this paper we investigate two approaches for unsupervised learning of such rules and com pare the proposed methods with a binary rule learning method.,Introduction
The results show that the learned unary rule-sets outperform the binary rule-set.,Introduction
"In addition, a novel directional similarity measure for learning entailment, termed Balanced-Inclusion, is the best performing measure.",Introduction
"In many NLP applications, such as Question An swering (QA) and Information Extraction (IE), it is crucial to recognize whether a specific target meaning is inferred from a text.",Experiment/Discussion
"For example, a QA system has to deduce that ?SCO sued IBM?",Experiment/Discussion
is inferred from ?SCO won a lawsuit against IBM?,Experiment/Discussion
to answer ?Whom did SCO sue??.,Experiment/Discussion
"This type of reasoning has been identified as a core semanticinference paradigm by the generic Textual Entail ment framework (Giampiccolo et al, 2007).",Experiment/Discussion
An important type of knowledge needed for such inference is entailment rules.,Experiment/Discussion
"An entailmentrule specifies a directional inference relation be tween two templates, text patterns with variables, such as ?X win lawsuit against Y ? X sue Y ?.",Experiment/Discussion
Applying this rule by matching ?X win lawsuit against Y ? in the above text allows a QA system to c ? 2008.,Experiment/Discussion
Licensed under the Creative CommonsAttribution-Noncommercial-Share Alike 3.0 Unported li cense (http://creativecommons.org/licenses/by-nc-sa/3.0/).,Experiment/Discussion
"Some rights reserved.infer ?X sue Y ? and identify ?IBM?, Y ?s instantiation, as the answer for the above question.",Experiment/Discussion
"Entail ment rules capture linguistic and world-knowledge inferences and are used as an important building block within different applications, e.g.",Experiment/Discussion
"(Romano et al, 2006).",Experiment/Discussion
One reason for the limited performance of generic semantic inference systems is the lack of broad-scale knowledge-bases of entailment rules (in analog to lexical resources such as WordNet).,Experiment/Discussion
Supervised learning of broad coverage rule-sets is an arduous task.,Experiment/Discussion
This sparked intensive research on unsupervised acquisition of entailment rules (and similarly paraphrases) e.g.,Experiment/Discussion
"(Lin and Pantel, 2001; Szpektor et al, 2004; Sekine, 2005).",Experiment/Discussion
"Most unsupervised entailment rule acquisitionmethods learn binary rules, rules between tem plates with two variables, ignoring unary rules, rules between unary templates (templates withonly one variable).",Experiment/Discussion
"However, a predicate quite of ten appears in the text with just a single variable(e.g. intransitive verbs or passives), where infer ence requires unary rules, e.g. ?X take a nap?X sleep?",Experiment/Discussion
(further motivations in Section 3.1).In this paper we focus on unsupervised learning of unary entailment rules.,Experiment/Discussion
Two learning ap proaches are proposed.,Experiment/Discussion
"In our main approach, rules are learned by measuring how similar the variable instantiations of two templates in a corpusare.",Experiment/Discussion
"In addition to adapting state-of-the-art similar ity measures for unary rule learning, we propose a new measure, termed Balanced-Inclusion, which balances the notion of directionality in entailment with the common notion of symmetric semantic similarity.",Experiment/Discussion
"In a second approach, unary rules arederived from binary rules learned by state-of-the art binary rule learning methods.",Experiment/Discussion
"We tested the various unsupervised unary rule 849learning methods, as well as a binary rule learn ing method, on a test set derived from a standard IE benchmark.",Experiment/Discussion
This provides the first comparisonbetween the performance of unary and binary rule sets.,Experiment/Discussion
"Several results rise from our evaluation: (a) while most work on unsupervised learning ignored unary rules, all tested unary methods outperformed the binary method; (b) it is better to learn unary rules directly than to derive them from a binary rule-base; (c) our proposed Balanced-Inclusion measure outperformed all other tested methods interms of F1 measure.",Experiment/Discussion
"Moreover, only BalancedInclusion improved F1 score over a baseline infer ence that does not use entailment rules at all .",Experiment/Discussion
"This section reviews relevant distributional simi larity measures, both symmetric and directional, which were applied for either lexical similarity or unsupervised entailment rule learning.",Experiment/Discussion
"Distributional similarity measures follow the Distributional Hypothesis, which states that words that occur in the same contexts tend to have similar meanings (Harris, 1954).",Experiment/Discussion
"Various measures wereproposed in the literature for assessing such simi larity between two words, u and v. Given a word q, its set of features F q and feature weights w q (f) for f ? F q , a common symmetric similarity measure is Lin similarity (Lin, 1998a): Lin(u, v) = ? f?F u ?F v [w u (f) + w v (f)] ? f?F u w u (f) + ? f?F v w v (f) where the weight of each feature is the pointwise mutual information (pmi) between the word and the feature: w q (f) = log[ Pr(f |q) Pr(f) ].",Experiment/Discussion
Weeds and Weir (2003) proposed to measure thesymmetric similarity between two words by av eraging two directional (asymmetric) scores: the coverage of each word?s features by the other.,Experiment/Discussion
"The coverage of u by v is measured by: Cover(u, v) = ? f?F u ?F v w u (f) ? f?F u w u (f) The average can be arithmetic or harmonic: WeedsA(u, v) = 1 2 [Cover(u, v) + Cover(v, u)] WeedsH(u, v) = 2 ? Cover(u, v) ? Cover(v, u) Cover(u, v) + Cover(v, u) Weeds et al also used pmi for feature weights.",Experiment/Discussion
"Binary rule learning algorithms adopted suchlexical similarity approaches for learning rules between templates, where the features of each tem plate are its variable instantiations in a corpus, such as {X=?SCO?, Y =?IBM?}",Experiment/Discussion
for the example in Section 1.,Experiment/Discussion
"Some works focused on learningrules from comparable corpora, containing com parable documents such as different news articles from the same date on the same topic (Barzilay and Lee, 2003; Ibrahim et al, 2003).",Experiment/Discussion
"Such corpora are highly informative for identifying variations of the same meaning, since, typically, when variableinstantiations are shared across comparable docu ments the same predicates are described.",Experiment/Discussion
"However,it is hard to collect broad-scale comparable cor pora, as the majority of texts are non-comparable.",Experiment/Discussion
"A complementary approach is learning from the abundant regular, non-comparable, corpora.",Experiment/Discussion
"Yet,in such corpora it is harder to recognize varia tions of the same predicate.",Experiment/Discussion
"The DIRT algorithm(Lin and Pantel, 2001) learns non-directional binary rules for templates that are paths in a depen dency parse-tree between two noun variables X and Y . The similarity between two templates t and t ? is the geometric average: DIRT (t, t ? ) = ? Lin x (t, t ? ) ? Lin y (t, t ? ) where Lin xis the Lin similarity between X?s in stantiations of t and X?s instantiations of t ? in a corpus (equivalently for Lin y ).",Experiment/Discussion
"Some workstake the combination of the two variable instantiations in each template occurrence as a single complex feature, e.g. {X-Y =?SCO-IBM?}, and com pare between these complex features of t and t ?",Experiment/Discussion
"(Ravichandran and Hovy, 2002; Szpektor et al, 2004; Sekine, 2005).Directional Measures Most rule learning meth ods apply a symmetric similarity measure between two templates, viewing them as paraphrasing eachother.",Experiment/Discussion
"However, entailment is in general a direc tional relation.",Experiment/Discussion
"For example, ?X acquire Y ? X own Y ? and ?countersuit against X ? lawsuit against X?.",Experiment/Discussion
"(Weeds and Weir, 2003) propose a directional measure for learning hyponymy between twowords, ?l? r?, by giving more weight to the cov erage of the features of l by r (with ? > 1 2 ): WeedsD(l, r)=?Cover(l, r)+(1??)Cover(r, l) When ?=1, this measure degenerates into Cover(l, r), termed Precision(l, r).",Experiment/Discussion
"With 850 Precision(l, r) we obtain a ?soft?",Experiment/Discussion
"version of the inclusion hypothesis presented in (Geffet and Dagan, 2005), which expects l to entail r if the ?important?",Experiment/Discussion
"features of l appear also in r. Similarly, the LEDIR algorithm (Bhagat et al, 2007) identifies the entailment direction between two binary templates, l and r, which participate in a relation learned by (the symmetric) DIRT, by measuring the proportion of instantiations of l that are covered by the instantiations of r. As far as we know, only (Shinyama et al, 2002)and (Pekar, 2006) learn rules between unary tem plates.",Experiment/Discussion
"However, (Shinyama et al, 2002) relies on comparable corpora for identifying paraphrasesand simply takes any two templates from comparable sentences that share a named entity instan tiation to be paraphrases.",Experiment/Discussion
Such approach is notfeasible for non-comparable corpora where statis tical measurement is required.,Experiment/Discussion
"(Pekar, 2006) learnsrules only between templates related by local dis course (information from different documents is ignored).",Experiment/Discussion
"In addition, their template structure islimited to only verbs and their direct syntactic ar guments, which may yield incorrect rules, e.g. forlight verbs (see Section 5.2).",Experiment/Discussion
"To overcome this limitation, we use a more expressive template struc ture.",Experiment/Discussion
3.1 Motivations.,Experiment/Discussion
Most unsupervised rule learning algorithms focused on learning binary entailment rules.,Experiment/Discussion
"How ever, using binary rules for inference is not enough.",Experiment/Discussion
"First, a predicate that can have multiple arguments may still occur with only one of its arguments.For example, in ?The acquisition of TCA was successful?, ?TCA?",Experiment/Discussion
is the only argument of ?acqui sition?.,Experiment/Discussion
"Second, some predicate expressions are unary by nature.",Experiment/Discussion
"For example, modifiers, such as ?the elected X?, or intransitive verbs.",Experiment/Discussion
"In addition, it appears more tractable to learn all variations for each argument of a predicate separately than to learn them for combinations of argument pairs.For these reasons, it seems that unary rule learn ing should be addressed in addition to binary rule learning.",Experiment/Discussion
"We are further motivated by the fact thatsome (mostly supervised) works in IE found learn ing unary templates useful for recognizing relevant named entities (Riloff, 1996; Sudo et al, 2003; Shinyama and Sekine, 2006), though they did notattempt to learn generic knowledge bases of entail ment rules.This paper investigates acquisition of unary entailment rules from regular non-comparable cor pora.",Experiment/Discussion
