col1,col2
"In this paper, we consider sentence sim plification as a special form of translation with the complex sentence as the source and the simple sentence as the target.",{}
"We propose a Tree-based Simplification Model (TSM), which, to our knowledge, is the first statistical simplification model covering splitting, dropping, reorderingand substitution integrally.",{}
We also de scribe an efficient method to train our model with a large-scale parallel dataset obtained from the Wikipedia and Simple Wikipedia.,{}
The evaluation shows that our model achieves better readability scores than a set of baseline systems.,{}
Sentence simplification transforms long and dif ficult sentences into shorter and more readable ones.,"{'title': 'Introduction', 'number': '1'}"
This helps humans read texts more easilyand faster.,"{'title': 'Introduction', 'number': '1'}"
"Reading assistance is thus an important application of sentence simplification, espe cially for people with reading disabilities (Carrollet al, 1999; Inui et al, 2003), low-literacy read ers (Watanabe et al, 2009), or non-native speakers (Siddharthan, 2002).Not only human readers but also NLP applications can benefit from sentence simplification.","{'title': 'Introduction', 'number': '1'}"
"The original motivation for sentence simplification is using it as a preprocessor to facili tate parsing or translation tasks (Chandrasekar et al., 1996).","{'title': 'Introduction', 'number': '1'}"
Complex sentences are considered as stumbling blocks for such systems.,"{'title': 'Introduction', 'number': '1'}"
"More recently,sentence simplification has also been shown help ful for summarization (Knight and Marcu, 2000), ? This work has been supported by the Emmy Noether Program of the German Research Foundation (DFG) underthe grant No.","{'title': 'Introduction', 'number': '1'}"
"GU 798/3-1, and by the Volkswagen Founda tion as part of the Lichtenberg-Professorship Program under the grant No.","{'title': 'Introduction', 'number': '1'}"
"I/82806.sentence fusion (Filippova and Strube, 2008b), se mantic role labeling (Vickrey and Koller, 2008), question generation (Heilman and Smith, 2009), paraphrase generation (Zhao et al, 2009) and biomedical information extraction (Jonnalagadda and Gonzalez, 2009).At sentence level, reading difficulty stems either from lexical or syntactic complexity.","{'title': 'Introduction', 'number': '1'}"
"Sen tence simplification can therefore be classifiedinto two types: lexical simplification and syntac tic simplification (Carroll et al, 1999).","{'title': 'Introduction', 'number': '1'}"
These two types of simplification can be further implemented by a set of simplification operations.,"{'title': 'Introduction', 'number': '1'}"
"Splitting, dropping, reordering, and substitution are widely accepted as important simplification operations.","{'title': 'Introduction', 'number': '1'}"
The splitting operation splits a long sentence intoseveral shorter sentences to decrease the complex ity of the long sentence.,"{'title': 'Introduction', 'number': '1'}"
The dropping operation further removes unimportant parts of a sentence to make it more concise.,"{'title': 'Introduction', 'number': '1'}"
"The reordering operationinterchanges the order of the split sentences (Sid dharthan, 2006) or parts in a sentence (Watanabeet al, 2009).","{'title': 'Introduction', 'number': '1'}"
"Finally, the substitution operation re places difficult phrases or words with their simpler synonyms.In most cases, different simplification operations happen simultaneously.","{'title': 'Introduction', 'number': '1'}"
It is therefore nec essary to consider the simplification process as a combination of different operations and treatthem as a whole.,"{'title': 'Introduction', 'number': '1'}"
"However, most of the existing models only consider one of these operations.","{'title': 'Introduction', 'number': '1'}"
"Siddharthan (2006) and Petersen and Ostendorf (2007) focus on sentence splitting, while sen tence compression systems (Filippova and Strube, 2008a) mainly use the dropping operation.","{'title': 'Introduction', 'number': '1'}"
"As faras lexical simplification is concerned, word substitution is usually done by selecting simpler syn onyms from Wordnet based on word frequency (Carroll et al, 1999).In this paper, we propose a sentence simplifica tion model by tree transformation which is based 1353 on techniques from statistical machine translation (SMT) (Yamada and Knight, 2001; Yamada andKnight, 2002; Graehl et al, 2008).","{'title': 'Introduction', 'number': '1'}"
"Our model in tegrally covers splitting, dropping, reordering and phrase/word substitution.","{'title': 'Introduction', 'number': '1'}"
The parameters of ourmodel can be efficiently learned from complex simple parallel datasets.,"{'title': 'Introduction', 'number': '1'}"
The transformation froma complex sentence to a simple sentence is con ducted by applying a sequence of simplification operations.,"{'title': 'Introduction', 'number': '1'}"
An expectation maximization (EM) algorithm is used to iteratively train our model.,"{'title': 'Introduction', 'number': '1'}"
We also propose a method based on monolingualword mapping which speeds up the training pro cess significantly.,"{'title': 'Introduction', 'number': '1'}"
"Finally, a decoder is designed to generate the simplified sentences using a greedy strategy and integrates language models.In order to train our model, we further com pile a large-scale complex-simple parallel dataset(PWKP) from Simple English Wikipedia1 and En glish Wikipedia2, as such datasets are rare.We organize the remainder of the paper as follows: Section 2 describes the PWKP dataset.","{'title': 'Introduction', 'number': '1'}"
Sec tion 3 presents our TSM model.,"{'title': 'Introduction', 'number': '1'}"
"Sections 4 and 5 are devoted to training and decoding, respectively.","{'title': 'Introduction', 'number': '1'}"
Section 6 details the evaluation.,"{'title': 'Introduction', 'number': '1'}"
