col1,col2
"Natural language parsing has typically been done with small sets of discrete categories such as NP and VP, but this representation does not capture the full syntactic nor semantic richness of linguistic phrases, and attempts to improve on this by lexicalizing phrases or splitting categories only partly address the problem at the cost of huge feature spaces and sparseness.",Introduction
"Instead, we introduce a Compositional Vector Grammar (CVG), which combines PCFGs with a syntactically untied recursive neural network that learns syntactico-semantic, compositional vector representations.",Introduction
The CVG improves the PCFG of the Stanford Parser by 3.8% to obtain an F1 score of 90.4%.,Introduction
It is fast to train and implemented approximately as an efficient reranker it is about 20% faster than the current Stanford factored parser.,Introduction
The CVG learns a soft notion of head words and improves performance on the types of ambiguities that require semantic information such as PP attachments.,Introduction
Syntactic parsing is a central task in natural language processing because of its importance in mediating between linguistic expression and meaning.,Experiment/Discussion
"For example, much work has shown the usefulness of syntactic representations for subsequent tasks such as relation extraction, semantic role labeling (Gildea and Palmer, 2002) and paraphrase detection (Callison-Burch, 2008).",Experiment/Discussion
Syntactic descriptions standardly use coarse discrete categories such as NP for noun phrases or PP for prepositional phrases.,Experiment/Discussion
"However, recent work has shown that parsing results can be greatly improved by defining more fine-grained syntactic gory,vector) representations at each node.",Experiment/Discussion
"The vectors for nonterminals are computed via a new type of recursive neural network which is conditioned on syntactic categories from a PCFG. categories, which better capture phrases with similar behavior, whether through manual feature engineering (Klein and Manning, 2003a) or automatic learning (Petrov et al., 2006).",Experiment/Discussion
"However, subdividing a category like NP into 30 or 60 subcategories can only provide a very limited representation of phrase meaning and semantic similarity.",Experiment/Discussion
Two strands of work therefore attempt to go further.,Experiment/Discussion
"First, recent work in discriminative parsing has shown gains from careful engineering of features (Taskar et al., 2004; Finkel et al., 2008).",Experiment/Discussion
Features in such parsers can be seen as defining effective dimensions of similarity between categories.,Experiment/Discussion
"Second, lexicalized parsers (Collins, 2003; Charniak, 2000) associate each category with a lexical item.",Experiment/Discussion
"This gives a fine-grained notion of semantic similarity, which is useful for tackling problems like ambiguous attachment decisions.",Experiment/Discussion
"However, this approach necessitates complex shrinkage estimation schemes to deal with the sparsity of observations of the lexicalized categories.",Experiment/Discussion
"In many natural language systems, single words and n-grams are usefully described by their distributional similarities (Brown et al., 1992), among many others.",Experiment/Discussion
"But, even with large corpora, many n-grams will never be seen during training, especially when n is large.",Experiment/Discussion
"In these cases, one cannot simply use distributional similarities to represent unseen phrases.",Experiment/Discussion
"In this work, we present a new solution to learn features and phrase representations even for very long, unseen n-grams.",Experiment/Discussion
We introduce a Compositional Vector Grammar Parser (CVG) for structure prediction.,Experiment/Discussion
"Like the above work on parsing, the model addresses the problem of representing phrases and categories.",Experiment/Discussion
"Unlike them, it jointly learns how to parse and how to represent phrases as both discrete categories and continuous vectors as illustrated in Fig.",Experiment/Discussion
1.,Experiment/Discussion
CVGs combine the advantages of standard probabilistic context free grammars (PCFG) with those of recursive neural networks (RNNs).,Experiment/Discussion
The former can capture the discrete categorization of phrases into NP or PP while the latter can capture fine-grained syntactic and compositional-semantic information on phrases and words.,Experiment/Discussion
"This information can help in cases where syntactic ambiguity can only be resolved with semantic information, such as in the PP attachment of the two sentences: They ate udon with forks. vs.",Experiment/Discussion
They ate udon with chicken.,Experiment/Discussion
