col1,col2
"This paper presents the task definition, resources, participating systems, and comparative results for the English lexical sample task, which was orgaas part of the evaluation exercise.",Introduction
"The task drew the participation of 27 teams from around the world, with a total of 47 systems.",Introduction
"We describe in this paper the task definition, resources, participating systems, and comparative results for the English lexical sample task, which was organized as part of the SENSEVAL-3 evaluation exercise.",Experiment/Discussion
The goal of this task was to create a framework for evaluation of systems that perform targeted Word Sense Disambiguation.,Experiment/Discussion
"This task is a follow-up to similar tasks organized during the SENSEVAL-1 (Kilgarriff and Palmer, 2000) and SENSEVAL-2 (Preiss and Yarowsky, 2001) evaluations.",Experiment/Discussion
"The main changes in this year’s evaluation consist of a new methodology for collecting annotated data (with contributions from Web users, as opposed to trained lexicographers), and a new sense inventory used for verb entries (Wordsmyth).",Experiment/Discussion
"2 Building a Sense Tagged Corpus with Volunteer Contributions over the Web The sense annotated corpus required for this task was built using the Open Mind Word Expert system (Chklovski and Mihalcea, 2002) 1.",Experiment/Discussion
"To overcome the current lack of sense tagged data and the limitations imposed by the creation of such data using trained lexicographers, the OMWE system enables the collection of semantically annotated corpora over the Web.",Experiment/Discussion
Sense tagged examples are collected using a Web-based application that allows contributors to annotate words with their meanings.,Experiment/Discussion
The tagging exercise proceeds as follows.,Experiment/Discussion
For each target word the system extracts a set of sentences from a large textual corpus.,Experiment/Discussion
"These examples are presented to the contributors, who are asked to select the most appropriate sense for the target word in each sentence.",Experiment/Discussion
"The selection is made using checkboxes, which list all possible senses of the current target word, plus two additional choices, “unclear” and “none of the above.” Although users are encouraged to select only one meaning per word, the selection of two or more senses is also possible.",Experiment/Discussion
The results of the classification submitted by other users are not presented to avoid artificial biases.,Experiment/Discussion
"Similar to the annotation scheme used for the English lexical sample at SENSEVAL-2, we use a “tag until two agree” scheme, with an upper bound on the number of annotations collected for each item set to four.",Experiment/Discussion
The data set used for the SENSEVAL-3 English lexical sample task consists of examples extracted from the British National Corpus (BNC).,Experiment/Discussion
"Earlier versions of OMWE also included data from the Penn Treebank corpus, the Los Angeles Times collection as provided during TREC conferences (http://trec.nist.gov), and Open Mind Common Sense (http://commonsense.media.mit.edu).",Experiment/Discussion
"The sense inventory used for nouns and adjectives is WordNet 1.7.1 (Miller, 1995), which is consistent with the annotations done for the same task during SENSEVAL-2.",Experiment/Discussion
Verbs are instead annotated with senses from Wordsmyth (http://www.wordsmyth.net/).,Experiment/Discussion
"The main reason motivating selection of a different sense inventory is the weak verb performance of systems participating in the English lexical sample in SENSEVAL-2, which may be due to the high number of senses defined for verbs in the WordNet sense inventory.",Experiment/Discussion
"By choosing a different set of senses, we hope to gain insight into the dependence of difficulty of the sense disambiguation task on sense inventories.",Experiment/Discussion
"Table 1 presents the number of words under each part of speech, and the average number of senses for each class.",Experiment/Discussion
"For this evaluation exercise, we decided to isolate the task of semantic tagging from the task of identifying multi-word expressions; we applied a filter that removed all examples pertaining to multi-word expressions prior to the tagging phase.",Experiment/Discussion
"Consequently, the training and test data sets made available for this task do not contain collocations as possible target words, but only single word units.",Experiment/Discussion
This is a somewhat different definition of the task as compared to previous similar evaluations; the difference may have an impact on the overall performance achieved by systems participating in the task.,Experiment/Discussion
The inter-tagger agreement obtained so far is closely comparable to the agreement figures previously reported in the literature.,Experiment/Discussion
Kilgarriff (2002) mentions that for the SENSEVAL-2 nouns and adjectives there was a 66.5% agreement between the first two taggings (taken in order of submission) entered for each item.,Experiment/Discussion
"About 12% of that tagging consisted of multi-word expressions and proper nouns, which are usually not ambiguous, and which are not considered during our data collection process.",Experiment/Discussion
"So far we measured a 62.8% inter-tagger agreement between the first two taggings for single word tagging, plus close-to-100% precision in tagging multi-word expressions and proper nouns (as mentioned earlier, this represents about 12% of the annotated data).",Experiment/Discussion
This results in an overall agreement of about 67.3% which is reasonable and closely comparable with previous figures.,Experiment/Discussion
