col1,col2
"In this paper, we present an approach to the automatic identification and correction ofpreposition and determiner errors in non native (L2) English writing.",{}
"We show that models of use for these parts of speech can be learned with an accuracy of 70.06% and 92.15% respectively on L1 text, and present first results in an error detection task for L2 writing.",{}
The field of research in natural language processing (NLP) applications for L2 language is constantly growing.,"{'title': 'Introduction', 'number': '1'}"
"This is largely driven by the ex panding population of L2 English speakers, whose varying levels of ability may require different types of NLP tools from those designed primarily for native speakers of the language.","{'title': 'Introduction', 'number': '1'}"
These include applications for use by the individual and within instructional contexts.,"{'title': 'Introduction', 'number': '1'}"
"Among the key tools are error-checking applications, focusing particularly on areas which learners find the most challenging.","{'title': 'Introduction', 'number': '1'}"
"Prepositions and determiners are known to be oneof the most frequent sources of error for L2 En glish speakers, a finding supported by our analysisof a small error-tagged corpus we created (determiners 17% of errors, prepositions 12%).","{'title': 'Introduction', 'number': '1'}"
"There fore, in developing a system for automatic error detection in L2 writing, it seems desirable to focus on these problematic, and very common, parts of speech (POS).This paper gives a brief overview of the prob lems posed by these POS and of related work.","{'title': 'Introduction', 'number': '1'}"
We c ? 2008.,"{'title': 'Introduction', 'number': '1'}"
Licensed under the Creative CommonsAttribution-Noncommercial-Share Alike 3.0 Unported li cense (http://creativecommons.org/licenses/by-nc-sa/3.0/).,"{'title': 'Introduction', 'number': '1'}"
Some rights reserved.,"{'title': 'Introduction', 'number': '1'}"
then present our proposed approach on both L1 and L2 data and discuss the results obtained so far.,"{'title': 'Introduction', 'number': '1'}"
2.1 Prepositions.,"{'title': 'The problem. ', 'number': '2'}"
Prepositions are challenging for learners because they can appear to have an idiosyncratic behaviour which does not follow any predictable pattern even across nearly identical contexts.,"{'title': 'The problem. ', 'number': '2'}"
"For example, we say I study in Boston but I study at MIT; or He is independent of his parents, but dependent on his son.","{'title': 'The problem. ', 'number': '2'}"
"As it is hard even for L1 speakers to articulatethe reasons for these differences, it is not surprising that learners find it difficult to master preposi tions.","{'title': 'The problem. ', 'number': '2'}"
2.2 Determiners.,"{'title': 'The problem. ', 'number': '2'}"
"Determiners pose a somewhat different problem from prepositions as, unlike them, their choice is more dependent on the wider discourse contextthan on individual lexical items.","{'title': 'The problem. ', 'number': '2'}"
"The relation be tween a noun and a determiner is less strict than that between a verb or noun and a preposition, the main factor in determiner choice being the specific properties of the noun?s context.","{'title': 'The problem. ', 'number': '2'}"
"For example, wecan say boys like sport or the boys like sport, depending on whether we are making a general state ment about all boys or referring to a specific group.Equally, both she ate an apple and she ate the ap ple are grammatically well-formed sentences, butonly one may be appropriate in a given context, de pending on whether the apple has been mentioned previously.","{'title': 'The problem. ', 'number': '2'}"
"Therefore, here, too, it is very hard tocome up with clear-cut rules predicting every pos sible kind of occurrence.","{'title': 'The problem. ', 'number': '2'}"
169,"{'title': 'The problem. ', 'number': '2'}"
"Although in the past there has been some research on determiner choice in L1 for applications such as generation and machine translation output, work to date on automatic error detection in L2 writing hasbeen fairly limited.","{'title': 'Related work. ', 'number': '3'}"
