col1,col2
"In order to respond correctly to a free form factual question given a large collection of texts, one needs to un derstand the question to a level that allows determiningsome of the constraints the question imposes on a pos sible answer.",Introduction
These constraints may include a semantic classification of the sought after answer and may even suggest using different strategies when looking for and verifying a candidate answer.,Introduction
This paper presents a machine learning approach toquestion classification.,Introduction
"We learn a hierarchical classifier that is guided by a layered semantic hierarchy of answer types, and eventually classifies questions into finegrained classes.",Introduction
We show accurate results on a large col lection of free-form questions used in TREC 10.,Introduction
"Open-domain question answering (Lehnert, 1986; Harabagiu et al, 2001; Light et al, 2001) and storycomprehension (Hirschman et al, 1999) have become important directions in natural language pro cessing.",Experiment/Discussion
Question answering is a retrieval task morechallenging than common search engine tasks be cause its purpose is to find an accurate and conciseanswer to a question rather than a relevant docu ment.,Experiment/Discussion
The difficulty is more acute in tasks such as story comprehension in which the target text is less likely to overlap with the text in the questions.,Experiment/Discussion
"For this reason, advanced natural language techniques rather than simple key term extraction are needed.One of the important stages in this process is analyz ing the question to a degree that allows determining the ?type?",Experiment/Discussion
of the sought after answer.,Experiment/Discussion
"In the TRECcompetition (Voorhees, 2000), participants are requested to build a system which, given a set of En glish questions, can automatically extract answers (a short phrase) of no more than 50 bytes from a5-gigabyte document library.",Experiment/Discussion
Participants have re Research supported by NSF grants IIS-9801638 and ITR IIS 0085836 and an ONR MURI Award.,Experiment/Discussion
"alized that locating an answer accurately hinges on first filtering out a wide range of candidates (Hovy et al, 2001; Ittycheriah et al, 2001) based on some categorization of answer types.",Experiment/Discussion
"This work develops a machine learning approach to question classification (QC) (Harabagiu et al, 2001; Hermjakob, 2001).",Experiment/Discussion
"Our goal is to categorize questions into different semantic classes that impose constraints on potential answers, so that they can be utilized in later stages of the question answeringprocess.",Experiment/Discussion
"For example, when considering the question Q: What Canadian city has the largest popula tion?, the hope is to classify this question as havinganswer type city, implying that only candidate an swers that are cities need consideration.Based on the SNoW learning architecture, we develop a hierarchical classifier that is guided by a lay ered semantic hierarchy of answer types and is able to classify questions into fine-grained classes.",Experiment/Discussion
