col1,col2
In recent years tree kernels have been proposed for the automatic learning of natural language applications.,Introduction
"Unfortunately, they show (a) an inherent super linear complexity and (b) a lower accuracy than traditional attribute/value methods.",Introduction
"In this paper, we show that tree kernels are very helpful in the processing of natural language as (a) we provide a simple algorithm to compute tree kernels in linear average running time and (b) our study on the classification properties of diverse tree kernels show that kernel combinations always improve the traditional methods.",Introduction
Experiments with Support Vector Machines on the predicate argument classification task provide empirical support to our thesis.,Introduction
"In recent years tree kernels have been shown to be interesting approaches for the modeling of syntactic information in natural language tasks, e.g. syntactic parsing (Collins and Duffy, 2002), relation extraction (Zelenko et al., 2003), Named Entity recognition (Cumby and Roth, 2003; Culotta and Sorensen, 2004) and Semantic Parsing (Moschitti, 2004).",Experiment/Discussion
The main tree kernel advantage is the possibility to generate a high number of syntactic features and let the learning algorithm to select those most relevant for a specific application.,Experiment/Discussion
"In contrast, their major drawback are (a) the computational time complexity which is superlinear in the number of tree nodes and (b) the accuracy that they produce is often lower than the one provided by linear models on manually designed features.",Experiment/Discussion
"To solve problem (a), a linear complexity algorithm for the subtree (ST) kernel computation, was designed in (Vishwanathan and Smola, 2002).",Experiment/Discussion
"Unfortunately, the ST set is rather poorer than the one generated by the subset tree (SST) kernel designed in (Collins and Duffy, 2002).",Experiment/Discussion
"Intuitively, an ST rooted in a node n of the target tree always contains all n’s descendants until the leaves.",Experiment/Discussion
This does not hold for the SSTs whose leaves can be internal nodes.,Experiment/Discussion
"To solve the problem (b), a study on different tree substructure spaces should be carried out to derive the tree kernel that provide the highest accuracy.",Experiment/Discussion
"On the one hand, SSTs provide learning algorithms with richer information which may be critical to capture syntactic properties of parse trees as shown, for example, in (Zelenko et al., 2003; Moschitti, 2004).",Experiment/Discussion
"On the other hand, if the SST space contains too many irrelevant features, overfitting may occur and decrease the classification accuracy (Cumby and Roth, 2003).",Experiment/Discussion
"As a consequence, the fewer features of the ST approach may be more appropriate.",Experiment/Discussion
"In this paper, we aim to solve the above problems.",Experiment/Discussion
We present (a) an algorithm for the evaluation of the ST and SST kernels which runs in linear average time and (b) a study of the impact of diverse tree kernels on the accuracy of Support Vector Machines (SVMs).,Experiment/Discussion
"Our fast algorithm computes the kernels between two syntactic parse trees in O(m + n) average time, where m and n are the number of nodes in the two trees.",Experiment/Discussion
"This low complexity allows SVMs to carry out experiments on hundreds of thousands of training instances since it is not higher than the complexity of the polynomial kernel, widely used on large experimentation e.g.",Experiment/Discussion
"(Pradhan et al., 2004).",Experiment/Discussion
"To confirm such hypothesis, we measured the impact of the algorithm on the time required by SVMs for the learning of about 122,774 predicate argument examples annotated in PropBank (Kingsbury and Palmer, 2002) and 37,948 instances annotated in FrameNet (Fillmore, 1982).",Experiment/Discussion
"Regarding the classification properties, we studied the argument labeling accuracy of ST and SST kernels and their combinations with the standard features (Gildea and Jurafsky, 2002).",Experiment/Discussion
"The results show that, on both PropBank and FrameNet datasets, the SST-based kernel, i.e. the richest in terms of substructures, produces the highest SVM accuracy.",Experiment/Discussion
"When SSTs are combined with the manual designed features, we always obtain the best figure classifier.",Experiment/Discussion
"This suggests that the many fragments included in the SST space are relevant and, since their manual design may be problematic (requiring a higher programming effort and deeper knowledge of the linguistic phenomenon), tree kernels provide a remarkable help in feature engineering.",Experiment/Discussion
"In the remainder of this paper, Section 2 describes the parse tree kernels and our fast algorithm.",Experiment/Discussion
Section 3 introduces the predicate argument classification problem and its solution.,Experiment/Discussion
Section 4 shows the comparative performance in term of the execution time and accuracy.,Experiment/Discussion
"Finally, Section 5 discusses the related work whereas Section 6 summarizes the conclusions.",Experiment/Discussion
The kernels that we consider represent trees in terms of their substructures (fragments).,Experiment/Discussion
"These latter define feature spaces which, in turn, are mapped into vector spaces, e.g.",Experiment/Discussion
R. The associated kernel function measures the similarity between two trees by counting the number of their common fragments.,Experiment/Discussion
"More precisely, a kernel function detects if a tree subpart (common to both trees) belongs to the feature space that we intend to generate.",Experiment/Discussion
"For such purpose, the fragment types need to be described.",Experiment/Discussion
We consider two important characterizations: the subtrees (STs) and the subset trees (SSTs).,Experiment/Discussion
"In our study, we consider syntactic parse trees, consequently, each node with its children is associated with a grammar production rule, where the symbol at left-hand side corresponds to the parent node and the symbols at right-hand side are associated with its children.",Experiment/Discussion
The terminal symbols of the grammar are always associated with the leaves of the tree.,Experiment/Discussion
