col1,col2
"Dividing sentences in chunks of words is a useful preprocessing step for parsing, information extraction and information retrieval.",{}
"(Ramshaw and Marcus, 1995) have introduced a &quot;convenient&quot; data representation for chunking by converting it to a tagging task.",{}
In this paper we will examine seven different data representations for the problem of recognizing noun phrase chunks.,{}
We will show that the the data representation choice has a minor influence on chunking performance.,{}
"However, equipped with the most suitable data representation, our memory-based learning chunker was able to improve the best published chunking results for a standard data set.",{}
"The text corpus tasks parsing, information extraction and information retrieval can benefit from dividing sentences in chunks of words.","{'title': '1 Introduction', 'number': '1'}"
"(Ramshaw and Marcus, 1995) describe an error-driven transformation-based learning (TBL) method for finding NP chunks in texts.","{'title': '1 Introduction', 'number': '1'}"
"NP chunks (or baseNPs) are non-overlapping, non-recursive noun phrases.","{'title': '1 Introduction', 'number': '1'}"
"In their experiments they have modeled chunk recognition as a tagging task: words that are inside a baseNP were marked I, words outside a baseNP received an 0 tag and a special tag B was used for the first word inside a baseNP immediately following another baseNP.","{'title': '1 Introduction', 'number': '1'}"
"A text example: original: In [N early trading NI in [N Hong Kong N] [N Monday NI , [N gold N] was quoted at [N $ 366.50 NI [N an ounce N] • tagged: Other representations for NP chunking can be used as well.","{'title': '1 Introduction', 'number': '1'}"
"An example is the representation used in (Ratnaparkhi, 1998) where all the chunkinitial words receive the same start tag (analogous to the B tag) while the remainder of the words in the chunk are paired with a different tag.","{'title': '1 Introduction', 'number': '1'}"
This removes tagging ambiguities.,"{'title': '1 Introduction', 'number': '1'}"
In the Ratnaparkhi representation equal noun phrases receive the same tag sequence regardless of the context in which they appear.,"{'title': '1 Introduction', 'number': '1'}"
The data representation choice might influence the performance of chunking systems.,"{'title': '1 Introduction', 'number': '1'}"
In this paper we discuss how large this influence is.,"{'title': '1 Introduction', 'number': '1'}"
Therefore we will compare seven different data representation formats for the baseNP recognition task.,"{'title': '1 Introduction', 'number': '1'}"
We are particularly interested in finding out whether with one of the representation formats the best reported results for this task can be improved.,"{'title': '1 Introduction', 'number': '1'}"
The second section of this paper presents the general setup of the experiments.,"{'title': '1 Introduction', 'number': '1'}"
The results ean be found in the third section.,"{'title': '1 Introduction', 'number': '1'}"
In the fourth section we will describe some related work.,"{'title': '1 Introduction', 'number': '1'}"
In this section we present and explain the data representation formats and the machine learning algorithm that we have used.,"{'title': '2 Methods and experiments', 'number': '2'}"
In the final part we describe the feature representation used in our experiments.,"{'title': '2 Methods and experiments', 'number': '2'}"
"We have compared four complete and three partial data representation formats for the baseNP recognition task presented in (Ramshaw and Marcus, 1995).","{'title': '2 Methods and experiments', 'number': '2'}"
The four complete formats all use an I tag for words that are inside a baseNP and an 0 tag for words that are outside a baseNP.,"{'title': '2 Methods and experiments', 'number': '2'}"
They differ gold was quoted at S 366.50 an ounce . for seven different tagging formats.,"{'title': '2 Methods and experiments', 'number': '2'}"
