col1,col2
Compounded words are a challenge for NLP applications such as machine translation (MT).,Introduction
We introduce methods to learn splitting rules from monolingual and parallel corpora.,Introduction
We evaluate them against a gold standard and measure their impact on performance of statistical MT systems.,Introduction
Results show accuracy of 99.1% and performance gains for MT of 0.039 BLEU on a German-English noun phrase translation task.,Introduction
Splitting options for the German word Aktionsplan Aktionsplan Aktion actionplan action plan Akt ion s plan act ion plan,Introduction
"Compounding of words is common in a number of languages (German, Dutch, Finnish, Greek, etc.).",Experiment/Discussion
"Since words may be joined freely, this vastly increases the vocabulary size, leading to sparse data problems.",Experiment/Discussion
"This poses challenges for a number of NLP applications such as machine translation, speech recognition, text classification, information extraction, or information retrieval.",Experiment/Discussion
"For machine translation, the splitting of an unknown compound into its parts enables the translation of the compound by the translation of its parts.",Experiment/Discussion
"Take the word Aktionsplan in German (see Figure 1), which was created by joining the words Aktion and Plan.",Experiment/Discussion
Breaking up this compound would assist the translation into English as action plan.,Experiment/Discussion
Compound splitting is a well defined computational linguistics task.,Experiment/Discussion
"One way to define the goal of compound splitting is to break up foreign words, so that a one-to-one correspondence to English can be established.",Experiment/Discussion
"Note that we are looking for a one-to-one correspondence to English content words: Say, the preferred translation of Aktionsplan is plan for action.",Experiment/Discussion
The lack of correspondence for the English word for does not detract from the definition of the task: We would still like to break up the German compound into the two parts Aktion and Plan.,Experiment/Discussion
The insertion of function words is not our concern.,Experiment/Discussion
"Ultimately, the purpose of this work is to improve the quality of machine translation systems.",Experiment/Discussion
"For instance, phrase-based translation systems [Marcu and Wong, 2002] may recover more easily from splitting regimes that do not create a one-to-one translation correspondence.",Experiment/Discussion
"One splitting method may mistakenly break up the word Aktionsplan into the three words Akt, Ion, and Plan.",Experiment/Discussion
"But if we consistently break up the word Aktion into Akt and Ion in our training data, such a system will likely learn the translation of the word pair Akt Ion into the single English word action.",Experiment/Discussion
"These considerations lead us to three different objectives and therefore three different evaluation metrics for the task of compound splitting: For the first objective, we compare the output of our methods to a manually created gold standard.",Experiment/Discussion
"For the second and third, we provide differently prepared training corpora to statistical machine translation systems.",Experiment/Discussion
"While the linguistic properties of compounds are widely studied [Langer, 1998], there has been only limited work on empirical methods to split up compounds for specific applications.",Experiment/Discussion
Brown [2002] proposes a approach guided by a parallel corpus.,Experiment/Discussion
It is limited to breaking compounds into cognates and words found in a translation lexicon.,Experiment/Discussion
This lexicon may also be acquired by training a statistical machine translation system.,Experiment/Discussion
"The methods leads to improved text coverage of an example based machine translation system, but no results on translation performance are reported.",Experiment/Discussion
Monz and de Rijke [2001] and Hedlund et al. [2001] successfully use lexicon based approaches to compound splitting for information retrieval.,Experiment/Discussion
Compounds are broken into either the smallest or the biggest words that can be found in a given lexicon.,Experiment/Discussion
Larson et al. [2000] propose a data-driven method that combines compound splitting and word recombination for speech recognition.,Experiment/Discussion
"While it reduces the number of out-of-vocabulary words, it does not improve speech recognition accuracy.",Experiment/Discussion
"Morphological analyzers such as Morphix [Finkler and Neumann, 19981 usually provide a variety of splitting options and leave it to the subsequent application to pick the best choice.",Experiment/Discussion
Compounds are created by joining existing words together.,Experiment/Discussion
"Thus, to enumerate all possible splittings of a compound, we consider all splits into known words.",Experiment/Discussion
"Known words are words that exist in a training corpus, in our case the European parliament proceedings consisting of 20 million words of German [Koehn, 2002].",Experiment/Discussion
"When joining words, filler letters may be inserted at the joint.",Experiment/Discussion
These are called Fugenelemente in German.,Experiment/Discussion
"Recall the example of Aktionsplan, where the letter s was inserted between Aktion and Plan.",Experiment/Discussion
Since there are no simple rules for when such letters may be inserted we allow them between any two words.,Experiment/Discussion
"As fillers we allow s and es when splitting German words, which covers almost all cases.",Experiment/Discussion
"Other transformations at joints include dropping of letters, such as when Schweigen and Minute are joined into Schweigeminute, dropping an n. A extensive study of such transformations is carried out by Langer [1998] for German.",Experiment/Discussion
To summarize: We try to cover the entire length of the compound with known words and fillers between words.,Experiment/Discussion
"An algorithm to break up words in such a manner could be implemented using dynamic programming, but since computational complexity is not a problem, we employ an exhaustive recursive search.",Experiment/Discussion
"To speed up word matching, we store the known words in a hash based on the first three letters.",Experiment/Discussion
"Also, we restrict known words to words of at least length three.",Experiment/Discussion
"For the word Aktionsplan, we find the following splitting options: We arrive at these splitting options, since all the parts — aktionsplan, aktions, aktion, akt, ion, and plan — have been observed as whole words in the training corpus.",Experiment/Discussion
These splitting options are the basis of our work.,Experiment/Discussion
In the following we discuss methods that pick one of them as the correct splitting of the compound.,Experiment/Discussion
"The more frequent a word occurs in a training corpus, the bigger the statistical basis to estimate translation probabilities, and the more likely the correct translation probability distribution is learned [Koehn and Knight, 20011.",Experiment/Discussion
This insight leads us to define a splitting metric based on word frequency.,Experiment/Discussion
"Given the count of words in the corpus, we pick the split S with the highest geometric mean of word frequencies of its parts pi (n being the number of parts): Since this metric is purely defined in terms of German word frequencies, there is not necessarily a relationship between the selected option and correspondence to English words.",Experiment/Discussion
"If a compound occurs more frequently in the text than its parts, this metric would leave the compound unbroken — even if it is translated in parts into English.",Experiment/Discussion
"In fact, this is the case for the example Aktionsplan.",Experiment/Discussion
"Again, the four options: Behind each part, we indicated its frequency in parenthesis.",Experiment/Discussion
On the right side is the geometric mean score of these frequencies.,Experiment/Discussion
