col1,col2
We present a practical co-training method for bootstrapping statistical parsers using a small amount of manually parsed training material and a much larger pool of raw sentences.,Introduction
Experimental results show that unlabelled sentences can be used to improve the performance of statistical parsers.,Introduction
"In addition, we consider the problem of bootstrapping parsers when the manually parsed training material is in a different domain to either the raw sentences or the testing material.",Introduction
"We show that bootstrapping continues to be useful, even though no manually produced parses from the target domain are used.",Introduction
"In this paper we describe how co-training (Blum and Mitchell, 1998) can be used to bootstrap a pair of statistical parsers from a small amount of annotated training data.",Experiment/Discussion
Co-training is a wealdy supervised learning algorithm in which two (or more) learners are iteratively retrained on each other's output.,Experiment/Discussion
"It has been applied to problems such as word-sense disambiguation (Yarowsky, 1995), web-page classification (Blum and Mitchell, 1998) and named-entity recognition (Collins and Singer, 1999).",Experiment/Discussion
"However, these tasks typically involved a small set of labels (around 2-3) and a relatively small parameter space.",Experiment/Discussion
It is therefore instructive to consider co-training for more complex models.,Experiment/Discussion
"Compared to these earlier models, a statistical parser has a larger parameter space, and instead of class labels, it produces recursively built parse trees as output.",Experiment/Discussion
"Previous work in co-training statistical parsers (Sarkar, 2001) used two components of a single parsing framework (that is, a parser and a supertagger for that parser).",Experiment/Discussion
"In contrast, this paper considers co-training two diverse statistical parsers: the Collins lexicalized PCFG parser and a Lexicalized Tree Adjoining Grammar (LTAG) parser.",Experiment/Discussion
Section 2 reviews co-training theory.,Experiment/Discussion
Section 3 considers how co-training applied to training statistical parsers can be made computationally viable.,Experiment/Discussion
"In Section 4 we show that co-training outperforms self-training, and that co-training is most beneficial when the seed set of manually created parses is small.",Experiment/Discussion
"Section 4.4 shows that co-training is possible even when the set of initially labelled data is drawn from a different distribution to either the unlabelled training material or the test set; that is, we show that co-training can help in porting a parser from one genre to another.",Experiment/Discussion
"Finally, section 5 reports summary results of our experiments.",Experiment/Discussion
"Co-training can be informally described in the following manner (Blum and Mitchell, 1998): Effectively, by picking confidently labelled data from each model to add to the training data, one model is labelling data for the other.",Experiment/Discussion
"This is in contrast to self-training, in which a model is retrained only on the labelled examples that it produces (Nigam and Ghani, 2000).",Experiment/Discussion
"Blum and Mitchell prove that, when the two views are conditionally independent given the label, and each view is sufficient for learning the task, co-training can improve an initial weak learner using unlabelled data.",Experiment/Discussion
"Dasgupta et al. (2002) extend the theory of cotraining by showing that, by maximising their agreement over the unlabelled data, the two learners make few generalisation errors (under the same independence assumption adopted by Blum and Mitchell).",Experiment/Discussion
"Abney (2002) argues that this assumption is extremely restrictive and typically violated in the data, and he proposes a weaker independence assumption.",Experiment/Discussion
Abney also presents a greedy algorithm that maximises agreement on unlabelled data.,Experiment/Discussion
"Goldman and Zhou (2000) show that, through careful selection of newly labelled examples, cotraining can work even when the classifiers' views do not fully satisfy the independence assumption.",Experiment/Discussion
"To apply the theory of co-training to parsing, we need to ensure that each parser is capable of learning the parsing task alone and that the two parsers have different views.",Experiment/Discussion
"We could also attempt to maximise the agreement of the two parsers over unlabelled data, using a similar approach to that given by Abney.",Experiment/Discussion
"This would be computationally very expensive for parsers, however, and we therefore propose some practical heuristics for determining which labelled examples to add to the training set for each parser.",Experiment/Discussion
Our approach is to decompose the problem into two steps.,Experiment/Discussion
"First, each parser assigns a score for every unlabelled sentence it parsed according to some scoring function, f, estimating the reliability of the label it assigned to the sentence (e.g. the probability of the parse).",Experiment/Discussion
Note that the scoring functions used by the two parsers do not necessarily have to be the same.,Experiment/Discussion
"Next, a selection method decides which parser is retrained upon which newly parsed sentences.",Experiment/Discussion
"Both scoring and selection phases are controlled by a simple incremental algorithm, which is detailed in section 3.2.",Experiment/Discussion
"An ideal scoring function would tell us the true accuracy rates (e.g., combined labelled precision and recall scores) of the trees that the parser produced.",Experiment/Discussion
"In practice, we rely on computable scoring functions that approximate the true accuracy scores, such as measures of uncertainty.",Experiment/Discussion
In this paper we use the probability of the most likely parse as the scoring function: where w is the sentence and V is the set of parses produced by the parser for the sentence.,Experiment/Discussion
Scoring parses using parse probability is motivated by the idea that parse probability should increase with parse correctness.,Experiment/Discussion
"During the selection phase, we pick a subset of the newly labelled sentences to add to the training sets of both parsers.",Experiment/Discussion
"That is, a subset of those sentences labelled by the LTAG parser is added to the training set of the Collins PCFG parser, and vice versa.",Experiment/Discussion
It is important to find examples that are reliably labelled by the teacher as training data for the student.,Experiment/Discussion
"The term teacher refers to the parser providing data, and student to the parser receiving A and B are two different parsers.",Experiment/Discussion
MA and ivriB are models of A and B at step i. U is a large pool of unlabelled sentences.,Experiment/Discussion
Ui is a small cache holding subset of U at step i. L is the manually labelled seed data.,Experiment/Discussion
L'A and LiB are the labelled training examples for A and B at step i. and assign scores to them according to their scoring functions JA and fB.,Experiment/Discussion
